Comment,Designator,Footprint,LCSC
EL817,U103,EL817S1(C)(TU)-F,C106900
Polyfuse_Small,F101,Fuse_1812_4532Metric,C12559
1K,"R101,R102,R103,R104,R106",R_0603_1608Metric,C21190
Yellow,D103,LED_0805_2012Metric,C2296
Green,D102,LED_0805_2012Metric,C2297
10K,"R105,R107",R_0603_1608Metric,C25804
White,D104,LED_0805_2012Metric,C34499
Red,D101,LED_0805_2012Metric,C84256
Q_NMOS_GSD,Q101,SOT-23,C8545
D_Small,D105,D_SMA,C8678
